"GoalsScored","By","Against","HomeAway"
0,"West Brom","Stoke","Away"
2,"Arsenal","Swansea","Away"
0,"West Ham","Chelsea","Away"
1,"Norwich","Sunderland","Away"
1,"Fulham","Tottenham","Away"
1,"Newcastle","Wigan","Away"
1,"Reading","Arsenal","Away"
0,"Stoke","Everton","Away"
0,"Newcastle","Man City","Away"
1,"Chelsea","Southampton","Away"
1,"Man United","Sunderland","Away"
2,"Tottenham","Swansea","Away"
1,"West Brom","West Ham","Away"
0,"Norwich","Wigan","Away"
2,"Liverpool","Aston Villa","Away"
2,"QPR","Fulham","Away"
2,"Swansea","Norwich","Away"
2,"Southampton","Reading","Away"
3,"Aston Villa","Stoke","Away"
2,"Arsenal","West Brom","Away"
1,"Sunderland","Chelsea","Away"
0,"West Ham","Liverpool","Away"
0,"Fulham","Newcastle","Away"
1,"Wigan","QPR","Away"
2,"Everton","Tottenham","Away"
2,"Man City","Man United","Away"
1,"Norwich","Arsenal","Away"
1,"Fulham","Aston Villa","Away"
0,"QPR","Everton","Away"
0,"Liverpool","Reading","Away"
1,"West Ham","Southampton","Away"
3,"Sunderland","Newcastle","Away"
2,"Man United","Stoke","Away"
0,"Everton","Arsenal","Away"
3,"Chelsea","Fulham","Away"
0,"Wigan","Man City","Away"
2,"Man United","West Ham","Away"
1,"Arsenal","Fulham","Away"
1,"Reading","Norwich","Away"
2,"Stoke","QPR","Away"
0,"Everton","Sunderland","Away"
0,"Southampton","Swansea","Away"
1,"Newcastle","West Brom","Away"
0,"Wigan","West Ham","Away"
2,"Chelsea","Liverpool","Away"
1,"Man City","Tottenham","Away"
0,"Aston Villa","Man United","Away"
0,"Fulham","Everton","Away"
1,"West Ham","Man City","Away"
6,"Liverpool","Newcastle","Away"
3,"West Brom","Southampton","Away"
0,"Norwich","Stoke","Away"
2,"Tottenham","Wigan","Away"
1,"Man United","Arsenal","Away"
0,"Swansea","Chelsea","Away"
0,"QPR","Reading","Away"
1,"Sunderland","Aston Villa","Away"
4,"Reading","Fulham","Away"
2,"Aston Villa","Norwich","Away"
1,"Arsenal","QPR","Away"
0,"Man City","Swansea","Away"
0,"Southampton","Tottenham","Away"
3,"Wigan","West Brom","Away"
0,"Newcastle","West Ham","Away"
0,"Everton","Liverpool","Away"
1,"Chelsea","Man United","Away"
1,"Stoke","Sunderland","Away"
0,"West Brom","Man City","Away"
3,"Swansea","Wigan","Away"
2,"Tottenham","Chelsea","Away"
2,"Chelsea","Aston Villa","Away"
0,"West Ham","Everton","Away"
3,"Liverpool","Fulham","Away"
1,"Swansea","Man United","Away"
0,"West Brom","Norwich","Away"
2,"Newcastle","QPR","Away"
2,"Tottenham","Stoke","Away"
1,"Southampton","Sunderland","Away"
1,"Wigan","Arsenal","Away"
2,"Man City","Reading","Away"
1,"Everton","Chelsea","Away"
0,"QPR","Liverpool","Away"
3,"Norwich","Man City","Away"
1,"Arsenal","Newcastle","Away"
1,"Stoke","Southampton","Away"
3,"Fulham","Swansea","Away"
0,"Sunderland","Tottenham","Away"
5,"Man United","West Brom","Away"
2,"Reading","West Ham","Away"
2,"Aston Villa","Wigan","Away"
